Waktu Tweet,Username,Tweet,Sentimen
2022-06-24 21:12:32,tips kesihatan,keradangan hati atau hepatitis punca dan pencegahan jom baca sekarang tipskesihatan,Neutral
2022-06-24 21:00:11,poetrena oneal,testimoni benjolan leher hamil usia dan anak prematur tanpa nicu sembuh dari fatty liver hepatitis kista autoimun dan tumor mengecil semua setelah konsumsi suba dan utsu dari afc ,Negative
2022-06-24 20:02:34,kepin ngangkang, hepatitis makasih infonya bunda semoga makin berkah hidupnya ,Positive
2022-06-24 19:11:52,beritalink,kemenkes dugaan hepatitis akut misterius indonesia kasus ,Positive
2022-06-24 19:06:52,sambal bilis garing ✨ kek batik milo 100%,virus yang mula tunjuk belang sejak akhir2 semoga kita sentiasa waspada penting jaga pergaulan anak amp kebersihan kawasaki hfmd rsv hepatitis akut ada yang kita tahu untuk elak jangkitan ada yang kita sendiri tak tahu macam mana nak elak ,Positive
2022-06-24 18:15:16,||_mek giha_||,vaspada dengan informasi yang menyatakan vaksin covid menyebabkan penyakit hepatitis akut dikarenakan semuanya sudah uji bahkan vaksinasi covid dinyatakan aman ,Positive
2022-06-24 18:05:54,@ntoez, tetangga saya sebulan yll perempuan usia tahun yatim piatu diagnosa dengue syndrome kondisi memburuk tetiba hepatitis hari dirawat pulang dapet hari meninggal ,Negative
2022-06-24 16:58:10,negeri laskarpelangi,periksa hepatitis bisa rsud depati hamzah gratis ,Positive
2022-06-24 16:43:47,okezone,kemenkes catat kasus dugaan hepatitis akut jakarta terbanyak lengkapcepatberitanya beritaterkini berita news beritanasional ,Positive
2022-06-24 16:34:19,ngo tenders jobs un bids procurement academic,itb177 hepatitis medicines ,Neutral
2022-06-24 15:44:24,𝐁𝐑𝐔𝐍𝐎, homa ini huwa inasababishwa virus wakati mwengine ambavyo vya hepatitis virus vya hepatitis huwa vinaishig kwenye damu maji maji mwili kama vile vya hiv usipovaa ndomu unaweza ukaambukizwa hiv,Neutral
2022-06-24 15:30:55,republika.co.id, dugaan kasus hepatitis akut meist ,Positive
2022-06-24 15:13:10,warta pontianak,kemenkes catat kasus penyakit hepatitis akut misterius provinsi tanah air maria andre taulany tiara andini kapolsek pedulilindungi widi iwan fals israel raffi ahmad yuki rizky febian italy polygon smpn ,Positive
2022-06-24 14:49:38,republika.co.id,saat ini tercatat kasus dugaan hepatitis akut indonesia ,Positive
2022-06-24 14:47:55,beritasatu,kemenkes dugaan hepatitis akut indonesia kasus ,Positive
2022-06-24 14:30:00,media indonesia,syahril mengungkapkan dari kasus probable sebanyak adalah perempuan dan adalah laki laki sementara itu pasien terdiri dari usia sampai tahun sumber ,Neutral
2022-06-24 14:24:31,herald.id,waspada hepatitis akut sudah tersebar provinsi ,Positive
2022-06-24 14:17:07,maram bajad, bleeding hepatitis,Neutral
2022-06-24 13:43:05,jurnalnews.id,kemenkes temukan kasus penyakit hepatitis akut misterius provinsi hepatitismisterius hepatitis,Positive
2022-06-24 13:22:14,hermansyah,kasus kumulatif diduga hepatitis misterius jadi orang begini kondisinya ,Neutral
2022-06-24 13:10:03,alineadotid,kemenkes update kasus hepatitis akut probable pending dan discarded ,Positive
2022-06-24 13:03:44,penggemar musiman, sblm hire nanny mending keluar duit dulu buat tes psikologi tes hepatitis dan lainnya cek sosmednya apa aja biar zonk dapet orang gila kayak gini ,Negative
2022-06-24 13:01:10,hmig undip,nantikan informasi menarik seputar vasksinasi selanjutnya yaa link evaluasi program kerja vaksinasi hepatitis narahubung caca line rizchanf12 ,Neutral
2022-06-24 13:00:35,hmig undip, mitos fakta vaksinasi hepatitis nutrilicious bener kalau vaksinasi hepatitis bisa menyebabkan efek samping yang parah untuk cek fakta dan kebenaran informasinya yuk cek infografis nya biar makin paham ,Negative
2022-06-24 12:38:47,teman 🐈, hello pawrents boleh minta doa buat kucingku soalnya dia lagi sakit hepatitis mohon doanya biar dapat sehat kembali dan bermain seperti biasanya makasii,Positive
2022-06-24 12:30:49,bfl indonesia, info salah satu manfaat donor darah adalah pendonor dapat memperoleh pemeriksaan kesehatan secara rutin setiap kali menyumbangkan darah meliputi pemeriksaan kadar tekanan darah keadaan umum kemungkinan tertular terhadap infeksi hiv hepatitis hepatitis dan sifilis ,Neutral
2022-06-24 12:14:02,petunjuk sehat,virus cmv jadi dalang penyebab hepatitis akut misterius ,Positive
2022-06-24 12:02:31,pratiwi, kalo gasalah itu tuh imunisasi tetanus dulu waktu kecil kita pernah dapet imunisasi yang nah pas nikah ini imunisasi yang terus kita juga harus tes lab kaya hiv sivilis hepatitis gitu cmiiw,Positive
2022-06-24 12:00:28,meow.,complexion purbasari membuatku terlihat seperti pasien hepatitis,Neutral
2022-06-24 11:58:04,20detik,cmv kasus hepatitis akut banyak dialami anak perlu waspada ,Positive
2022-06-24 11:57:10,mediamonitoring,kemenkes sebut total kasus hepatitis misterius indonesia ada kasus ,Neutral
2022-06-24 11:56:39,detikcom,kemenkes mencatat kasus dugaan hepatitis akut misterius dari kasus tersebut empat pasien dinyatakan positif cytomegalovirus cmv ,Positive
2022-06-24 11:24:25,detikcom,kemenkes mencatat total kasus kumulatif dugaan hepatitis akut misterius hingga kamis 2022 berikut rincian kasus dan kondisi para pasien ,Positive
2022-06-24 11:24:21,detikcom,total kasus probable hepatitis misterius menjadi orang dari semula kasus kumulatif terungkap patogen terbanyak yang ditemukan pada pasien ini hasilnya ,Neutral
2022-06-24 11:20:28,voi.id,juru bicara kementerian kesehatan mohammad syahril mengatakan sebanyak kasus kumulatif diduga hepatitis akut misterius pada anak dilaporkan dari provinsi indonesia per juni 2022 ,Positive
2022-06-24 11:13:43,cnn indonesia,hepatitis akut misterius tambah jadi kasus ,Positive
2022-06-24 11:13:31,media indonesia, dari kasus dugaan ini ada probable pending dan discarded kata juru bicara kemenkes mohammad syahril ,Neutral
2022-06-24 11:04:25,republika.co.id,sebanyak kasus dugaan hepatitis akut indonesia tersebar provinsi ,Positive
2022-06-24 11:03:00,bisnis.com,kemenkes buka suara terkait kasus hepatitis akut dan cacar monyet ,Positive
2022-06-24 10:39:02,detikhealth,kemenkes melaporkan sebanyak kasus kumulatif dugaan hepatitis akus misterius hingga kamis 2022 ini gejala terbanyak yang dialami pasien ,Positive
2022-06-24 10:27:02,opsi media informasi,virus cmv jadi dalang penyebab hepatitis akut misterius okezone opsiin ,Positive
2022-06-24 10:05:47,20detik,ada kasus kumulatif diduga hepatitis akut indonesia ,Positive
2022-06-24 10:00:37,opsi media informasi,virus cmv jadi dalang penyebab hepatitis akut misterius okezone google berita opsiin ,Positive
2022-06-24 09:52:29,cnbc indonesia,kabar terbaru kasus hepatitis akut misterius ,Positive
2022-06-24 09:36:05,kompas tv,kemenkes catat total kasus dugaan hepatitis misterius indonesia jakarta terbanyak ,Neutral
2022-06-24 09:35:06,⚕️ruang kuliah fk, hollaa ruang kuliah gimana kabarnya juli 2022 ikuti seminar virtual dengan tentang mengenal lebih jauh hepatitis akut misterisus pada anak dengan narasumber hebat dan moderator super kece yuk simak media patner ,Positive
2022-06-24 09:30:38,opsi media informasi,hepatitis akut misterius indonesia bertambah jadi kasus jakarta jadi provinsi penyumbang terbanyak celebrities google berita opsiin ,Positive
2022-06-24 09:26:02,bigt.eth | operationsin,who dan kemenkes menerbitkan surat edaran tentang kewaspadaan terhadap penemuan kasus hepatitis akut yang tidak diketahui etiologinya ,Positive
2022-06-24 09:25:01,medcom_id,kemenkes masih investigasi kasus suspek hepatitis akut ,Positive
2022-06-24 09:13:16,spiritriau.com,update jumlah kasus hepatitis akut indonesia hari ini juni ,Positive
2022-06-24 09:11:09,kompas.com, kasus itu terdiri dari kasus berstatus probable dan kasus dengan status pending classification ,Neutral
2022-06-24 09:08:32,media indonesia,kemenkes masih lakukan investigasi pada kasus hepatitis akut misterius ,Positive
2022-06-24 08:36:12,name generator,dick hepatitis,Neutral
2022-06-24 08:31:25,puisi malam mencari cinta,hepatitis bisakah lahiran normal,Positive
2022-06-24 08:03:21,beritalink,update hepatitis akut misterius bertambah jadi kasus okezone lifestyle ,Positive
2022-06-24 07:17:39,beritanews,hepatitis misterius satu pasien probable jalani perawat makassar ,Neutral
2022-06-24 07:14:28,blogdokter,virus hepatitis lebih banyak membunuh orang dibandingkan dengan hiv malaria dan tbc blogpost infokesehatan,Neutral
2022-06-24 06:52:50,beritanews,dinas kesehatan kota makassar minta seluruh puskemas waspada hepatitis ,Positive
2022-06-24 06:47:05,arif bijaksana,muncul dugaan adenovirus pada vaksin astrazeneca jadi penyebab hepatitis cek faktanya ikn majukan indonesia ,Neutral
2022-06-24 06:46:38,arif bijaksana,waspada hoax hepatitis anak akibat vaksin covid ikn majukan indonesia ,Negative
2022-06-24 06:41:33,kompas.com,live update penanganan covid hepatitis akut dan cacar monyet indonesia ,Positive
2022-06-24 06:17:13,cerita meti,waspada hoax vaksin mrna menyebakan hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 06:11:41,puisi malam mencari cinta,hepatitis bisakah sembuh,Neutral
2022-06-24 05:37:10,ayu andira pratiwi,hepatitis akut tak terkait vaksin covid ikn majukan indonesia ,Positive
2022-06-24 04:51:11,ricky winfinance,era tirani medis cabal big pharma ada misteri2 pada serangan jantung stroke jantung berhenti pada anak2 abg tiba2 mati dan tak terduga dalam tidurnya misteri atlit2 sma jatuh dan mati saat main bola misteri lumpuh muke hepatitis anak misteri kebutaan bagi dunia medis ,Negative
2022-06-24 04:37:18,syahnidella,ada penelitian ttg betapa beban ganda dan overworked pada perempuan bisa berujung pada sakit serius tumor kelenjer getah bening cancer hepatitis bahkan meninggal baru sadar ini setelah nonton liberation notes scene ibunya jeong meninggal kesannya tiba tiba ,Negative
2022-06-24 04:22:01,dabriel,waspada hoax vaksin mrna tidak menyebabkan hepatitis kut ikn majukan indonesia ,Positive
2022-06-24 04:19:41,dinas kesehatan provinsi dki jakarta,hai healthies dengan maraknya kasus hepatitis belakangan ini dan dalam rangka menyambut hari hepatitis sedunia yang jatuh setiap tanggal juli dinas kesehatan provinsi dki jakarta bekerjasama dengan cwb lab mengadakan webinar yang berta ,Positive
2022-06-24 04:03:50,sony wakwaw,hepatitis tidak terkait vaksin ikn majukan indonesia ,Neutral
2022-06-24 04:03:34,sony wakwaw,penyebab hepatitis misteri masih misteri ikn majukan indonesia ,Neutral
2022-06-24 04:00:57,hasan basri,dokter hepatitis akut tak terkait vaksin covid ikn majukan indonesia ,Positive
2022-06-24 03:53:41,., yowes hepatitis hepatitis kan menyerang anak2,Neutral
2022-06-24 03:48:19,nadia bahari,hepatitis tak terkait dengan vaksin covid ikn majukan indonesia ,Positive
2022-06-24 03:42:48,infoterkini, hepatitis akut tidak terkait vaksin covid ikn majukan indonesia ,Positive
2022-06-24 03:42:14,anissa billa,cek faktanya vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 03:42:12,anissa billa,merebaknya penyakit hepatitis akut yang tidak diketahui penyebabnya ikn majukan indonesia ,Positive
2022-06-24 03:39:30,icha, sejauh ini belum ada hasil penelitian terkait penyebab hepatitis akut jangan sampai dapat informasi hoaks ikn majukan indonesia,Positive
2022-06-24 03:39:26,icha,sejauh ini belum ada hasil penelitian terkait penyebab hepatitis akut jangan sampai dapat informasi hoaks ikn majukan indonesia ,Positive
2022-06-24 03:34:21,putri venesia,waspada hoax vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 03:31:32,danis, vaksin covid tidak sebabkan hepatitis akut pada anak ikn majukan indonesia,Positive
2022-06-24 03:31:06,wati,waspada hoax terkait vaksin mrna yang bisa mengakibatkan hepatitis akut pada anak ikn majukan indonesia ,Positive
2022-06-24 03:28:19,alexander ivan,ikn majukan indonesia waspada hoaks vaksin mrna menyebabkan hepatitis pada anak ,Negative
2022-06-24 03:22:09,kumparan,hepatitis merupakan salah satu silent killer yang perlu diwaspadai dalam beberapa kasus pengidap bahkan tak sadar sudah terinfeksi penyakit ini ,Positive
2022-06-24 03:22:05,hotman sarif, hepatitis akut tak terkait vaksin ikn majukan indonesia ,Positive
2022-06-24 03:22:04,rosmayanti, vaksin pada anak aman dan teruji ikn majukan indonesia ,Positive
2022-06-24 03:21:46,dirga nusantara,hepatitis akut tak terkai vaksin covid ikn majukan indonesia ,Positive
2022-06-24 03:11:06,dinar,vaksin covid tidak sebabkan hepatitis akut pada anak ikn majukan indonesia ,Positive
2022-06-24 03:09:43,mading indonesia, mantap hepatitis akut tak terkait vaksin covid ikn majukan indonesia,Positive
2022-06-24 03:09:38,mading indonesia, oke hepatitis akut tak terkait vaksin covid ikn majukan indonesia,Positive
2022-06-24 03:09:33,mading indonesia, terbaik hepatitis akut tak terkait vaksin covid ikn majukan indonesia,Positive
2022-06-24 03:09:29,mading indonesia, hepatitis akut tak terkait vaksin covid ikn majukan indonesia,Positive
2022-06-24 03:05:42,raul hermansyah,ikn majukan indonesiawaspada hoaks vaksin mrna menyebabkan hepatitis pada anak ,Negative
2022-06-24 03:05:18,ranomokodompit, awas hoax hepatitis akut ikn majukan indonesia,Positive
2022-06-24 02:59:26,terpesonna,waspada hoaks vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Negative
2022-06-24 02:49:12,into the unknown,ternyata kucing bisa kena hepatitis ,Neutral
2022-06-24 02:44:27,nyoman sugita, waspadai hoax vaksin mrna sebabkan hepatitis pada anak,Negative
2022-06-24 02:42:34,imuni • vaksinasi di rumah,ada beberapa vaksin yang direkomendasikan untuk orang dengan penyakit kronis yakni influenza pneumonia dan hepatitis ,Negative
2022-06-24 02:40:58,rodi hartono,para dokter ahli mengatakan hepatitis akut tidak berkaitan dengan vaksinasi ikn majukan indonesia ,Positive
2022-06-24 02:39:36,rodi hartono,hingga saat ini belum ada bukti hepatitis akut disebakan karena vaksinasi ikn majukan indonesia ,Positive
2022-06-24 02:34:11,cak cilik, ikn majukan indonesia hepatitis akut tak terkait vaksin covid ,Positive
2022-06-24 02:33:23,cak cilik, ikn majukan indonesia menyikapi isu hepatitis akut misterius ,Positive
2022-06-24 02:33:01,luis chaniago,vaksin tidak berkaitan dengan hepatitis akut pada anak waspada hoax ikn majukan indonesia ,Positive
2022-06-24 02:30:12,☕ rms ☕, tidak ada kaitannya antara vaksin dgn hepatitis akut lengkapivaksinperketatprokes planetsejajar,Positive
2022-06-24 02:29:54,mutiara halmahera, salah vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia,Negative
2022-06-24 02:28:17,mhtc malaysia, farah delah indonesia market development director mhtc sat down with briansyah dewandri tvri jatim channel 23rd june 2022 share malaysia the hepatitis treatment hub asia ,Neutral
2022-06-24 02:27:38,putput, salah vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Negative
2022-06-24 02:26:50,☕ rms ☕, vaksin aman dan nyaman tdk ada kaitannya dgn hepatitis akut lengkapivaksinperketatprokes planetsejajar,Positive
2022-06-24 02:22:18,doli siagian,waspada provokasi kelompok kepentingan yang mengaitkan hepatitis akut dengan vaksinasi covid pada anak ikn bangkitkan ekonomi ,Positive
2022-06-24 02:20:08,i love nkri,waspada hoax beredar sebuah ungahan yang mengatakan bahwa vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 02:17:18,cup coffee,waspada hoax beredar sebuah unggahan yang menyatakan bahwa vaksin mrna menyebabkan hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 02:14:51,sutansegeh,vaksin covid telah teruji amp terjamin aman serta sertifikasi mui tidak ada kaitan hepatitis akut ikn majukan indonesia ,Positive
2022-06-24 02:14:47,koran kaltara,penyebaran hepatitis bisa lewat kotoran hepatitis penularan kesehatan tarakan kaltara infokaltara beritakaltara korankaltara ,Negative
2022-06-24 02:13:02,i love nkri,hepatitis akut tak terkait vaksin covid ,Positive
2022-06-24 02:10:02,putri,waspada berita hoax vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:09:51,amoi kurau,vaksin mrna tidak sebabkan hepatitis pada anak ikn majukan indonesia ,Negative
2022-06-24 02:09:48,nusantara bicara,waspada hoax terkait hepatitis anak akibat vaksin covid ikn majukan indonesia ,Negative
2022-06-24 02:09:26,putri panjaitan,vaksin aman tidak menyebabkan hepatitis ikn majukan indonesia ,Positive
2022-06-24 02:07:58,pelita bangsa,faktanya tdk benar jika vaksin covid terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:06:57,christina siauta,waspadai hoax vaksin mrna menyebabkan hepatitis pada anak vaksin covid sudah terbukti aman dan halal ikn majukan indonesia ,Positive
2022-06-24 02:06:06,dindu nuffin,tidak ada bukti ilmiah bahwa vaksin covid jadi penyebab munculnya hepatitis pada anak ikn majukan indonesia ,Neutral
2022-06-24 02:05:59,indah cn,gak ada hubungannya hepatitis akut dengan vaksinasi covid nonton faktanya ikn majukan indonesia ,Positive
2022-06-24 02:05:59,putri,jelas bhwa vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:05:28,putri,jgn ragu krn vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:04:27,indah cn,awas hoax hepatitis akut tidak terkait dengan vaksin covid ikn majukan indonesia ,Positive
2022-06-24 02:04:06,nek nang,vaksin mrna tidak menyebabkan hepatitis pada anak ikn majukan indonesia ,Negative
2022-06-24 02:02:39,putri,jgn terprovokasi hoax krn vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:00:36,putri,jgn ragu vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 02:00:01,yuni marisa,ikn majukan indonesia hepatitis tak terkait vaksin covid ,Neutral
2022-06-24 02:00:00,yuni marisa,ikn majukan indonesia hepatitis akut tak terkait vaksin covid ,Positive
2022-06-24 01:56:43,putri,jgn percaya berita hoax krn vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:56:07,putri,vaksin covid tdk terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:54:35,indah sridevi,vaksinasi covid tidak menyebabkan kasus hepatitis akut yang saat ini berkembang oleh sebab itu masyarakat diminta untuk mewaspadai hoax vaksin covid tidak terkait dengan hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:53:01,pelita bangsa,awas hoax faktanya tdk benar jika vaksin covid terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:52:32,pelita bangsa,tdk benar jika vaksin covid terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:52:13,🐘, katanya kena penyakit bagian hati kak jadi kaya hepatitis kak,Neutral
2022-06-24 01:49:34,pelita bangsa,waspada hoax faktanya tdk benar jika vaksin covid terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:46:56,pelita bangsa,tdk benar vaksin covid terkait hepatitis akut lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:30:18,🛩️ pesawat kertas 💕,menanggapi kabar banyak tersebar tengah masyarakat mengenai keterkaitan vaksin covid amp penyebab dari hepatitis akut ini prof hanifah oswari selaku lead scientist untuk kasus ini membantah adanya kaitan diatas lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:23:40,☕ rms ☕,vaksinasi covid tak terkait dengan hepatitis akut masyarakat harus bisa memahaminya sehingga tdk mudah termakan provokasi dan hoax jika dikatakan bahwa vaksin ada kaitannya dengan hepatitis akut vaksin aman bagi anak lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:23:34,kalla jengking,vaksin covid tidak terkait dengan hepatitis akut vaksinasi covid tidak menyebabkan kasus hepatitis akut yang saat ini berkembang oleh sebab itu masyarakat diminta untuk mewaspadai hoax lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:22:18,pelita bangsa,masyarakat diminta mewaspadai hoax krn faktanya vaksinasi covid tdk terkait hepatitis akut jgn ragu dan kuatir krn semua vaksin covid beredar indonesia saat ini dijamin aman amp halal lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:21:43,ıʇɐɥıʞɐʞuɐʇɐʇɐɔ,vaksin covid digunakan untuk anak2 aman tidak kaitanny dgn hepatitis akut pada anak jadi jangan percaya hoax semua vaksin digunakan untuk anak aman krna sudah teruji oleh pihak terkait simak infografis berikut yuk lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:20:34,mune 🌙,vaksin covid tak terkait dengan hepatitis akut masyarakat harus waspada berita hoax vaksin covid indonesia aman dan telah teruji klinis percaya kepada pemerintah lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 01:19:09,loli,waspada hoax vaksinasi covid tidak terkait dengan hepatitis akut tidak menyebabkan hepatitis akut beredar saat ini karena vaksin covid yang digunakan saat ini aman dan halal digunakan lawan pandemi lengkapivaksinperketatprokes planetsejajar ,Positive
2022-06-24 00:29:46,kodam jaya/jayakarta,batalyon infanteri mekanis 202 tajimalela bekerja sama dengan polkes kota bekasi menyelenggarakan vaksin hepatitis peleton kesehatan batalyon infanteri mekanis 202 tajimalela rawa lumbu kota bekasi tniadmengabdidanmembangunbersamarakyat ,Positive
2022-06-24 00:05:39,epidemiology job openings (epijobs),epidemiology investigator hepatitis surveillance columbus epijobs ,Neutral
2022-06-23 22:18:50,dokter tifa,tdk ada hepatitis misterius serangan jantung misterius kematian anak misterius sudden adult death syndrome misterius misterius cuma satu who kemenkes idi isinya profesor dokter ilmuwan tdk bisa jelaskan apa sesungguhnya terjadi tidak bisa atau tutup mulut ,Positive
2022-06-23 17:19:25,goodman,yang indonesia dia punya bini indonesia mengklaim dia punya penyakit liver dan hepatitis dan sering kesakitan sampai frustrasi felderhof dilain pihak percaya guzman dibunuh oleh orang freeport dan bob hasan meskipun gajelas juga kenapa mereka mau repot repot,Negative
2022-06-23 16:25:39,💎, kalo test hiv ada aku kontaknya trs test hepatitis juga kalo gak salah sama tes apa gitu satu gatau bisa konsul atau ngga coba dulu aja kontak,Neutral
2022-06-23 15:37:11,redaksiberitakalteng,dinkes diminta gencar sosialisasikan bahaya hepatitis akut misterius ,Positive
2022-06-23 15:35:09,blj.co.id,update hepatitis akut yang misterius ,Positive
2022-06-23 14:05:53,jude,hari ini ajakin donor darah sama senior tempat kerja cuman sayang nya aku bisa donor darah soalnya punya riwayat ortu dua dua nya punya hepatitis ibu alhamdullilah udah sembuh tapi ayah terselamatkan waktu mcu kerja kemaren juga aku status nya reaktif hepatitis,Neutral
2022-06-23 12:41:54,~matchatealatte~,sakit banget abis vaksin hepatitis tapi masih sakitan tinggal pas lagi sayang sayangnya ,Negative
2022-06-23 12:37:29,͏ ͏ ͏,dusun bgt hepatitis ,Positive
2022-06-23 12:26:18,🧜‍♀️, hepatitis dpt hib ipv campak ,Neutral
2022-06-23 11:37:13,blowyourmind, hati hati hepatitis ,Neutral
2022-06-23 11:33:55,nøm, nah nek wes keno hepatitis koe biso nge tweet ngene meneh ,Neutral
2022-06-23 10:53:13,han, wibungitis hepatitis jenis apa ,Neutral
2022-06-23 10:31:26,tian, hepatitis dong goblog wkwk amit amit,Neutral
2022-06-23 10:06:28,the other person, herpes hepatitis measles dengue malaria ,Neutral
2022-06-23 10:02:37,୧⍤⃝😔, mending mandi dlu trus bersih2 deh itu tangan mainin titit tiati hepatitis wkk,Positive
2022-06-23 09:27:13,raden muhammad wisnu permana, lumayan sebulan sekali bisa tes sifilis hepatitis dan juga hiv karena donor darah mudah mudahan hasilnya bisa non reaktif terus selamanya ,Positive
2022-06-23 09:04:55,cabe,bukti penyerahan vaksin hepatitis btw jika ada yang terdiagnosa ibu nya otomatis bayi nya akan vaksin sejak dini untuk pencegahan peran edukasi dalam hal penyakit ini penting juga karna banyak yang tidak tau efek kedepannya seperti apa ,Positive
2022-06-23 08:51:59,jtv,hepatitis adalah penyakit menular saat terjangkit hepatitis tubuh merespon dengan memberikan gejala gejala tertentu simak penjelasan gejala gejala hepatitis dari ari baskoro dokter spesialis penyakit dalam okdokjtv tayang tiap hari mulai pukul wib kembaliketivi ,Positive
2022-06-23 07:37:44,arif bijaksana,tidak ada kaitan antara vaksinasi covid dengan penyakit hepatitis akut pada anak g20 indonesia kuat ,Positive
2022-06-23 06:21:26,talenan, iyah nih bener udah banyak ahli pakar jelasin klo vaksin covid untuk anak ada hubungannya ama penyakit hepatitis akut g20 indonesia kuat,Positive
2022-06-23 06:19:49,ಠ_ಠ 🅨, hepatitis lak klo kuning,Neutral
2022-06-23 06:00:43,🇲🇨فرّيون تريغن🇵🇸, coba konsumsi jus alpukat mbak jangan campur gula sama susu infony alpukat juga bisa utk hepatitis,Neutral
2022-06-23 06:00:11,jhon jhon lladones,muncul dugaan adenovirus pada vaksin astrazeneca jadi penyebab hepatitis cek faktanya g20 indonesia kuat,Positive
2022-06-23 05:31:49,zero man,hepatitis akut tak terkait vaksin covid g20 indonesia kuat ,Positive
2022-06-23 05:23:43,ihsan nana, tak sebabkan hepatitis pada anak g20 indonesia kuat,Positive
2022-06-23 04:56:04,jarum suntik vaksin,penyebab hepatitis masih misteri g20 indonesia kuat ,Positive
2022-06-23 04:53:54,andre raharjo, vaksin covid engga buat hepatitis g20 indonesia kuat,Negative
2022-06-23 04:49:01,ayu nindya, vaksin covid sama hepatitis mah gak ada hubungannya g20 indonesia kuat,Positive
2022-06-23 04:46:27,ayu nindya, apa itu hepatitis akut jangan dikenali biar gak disakiti g20 indonesia kuat,Positive
2022-06-23 04:43:33,putri venesia,dokter hepatitis akut tak terkait vaksin covid g20 indonesia kuat ,Positive
2022-06-23 04:40:22,rianti, vaksin itu buat covid bukan buat hepatitis akut g20 indonesia kuat,Positive
2022-06-23 04:39:57,rianti,vaksin mah vaksin aja hepatitis mah beda urusan g20 indonesia kuat ,Neutral
2022-06-23 04:39:04,rianti, betul betul hepatitis gak perlu khawatirkan cukup hadapi dengan cara tepat g20 indonesia kuat,Positive
2022-06-23 04:31:09,silvia putri ananta,vaksin anak aman dan halal tak terkait hepatitis akut g20 indonesia kuat ,Positive
2022-06-23 04:23:50,wati,vaksin covid untuk anak anak aman dan tidak berpengaruh terhadap hepatitis g20 indonesia kuat ,Positive
2022-06-23 04:22:42,yuni marisa,g20 indonesia kuat dokter hepatitis akut tak terkait vaksin covid ,Positive
2022-06-23 04:21:59,yuni marisa,g20 indonesia kuat pemerintah investigasi penyebab hepatitis misterius ,Positive
2022-06-23 04:21:33,yuni marisa,g20 indonesia kuat hepatitis akut tak terkait vaksin covid ,Positive
2022-06-23 04:20:40,wikasalim,vaksin tidak terkait dengan hepatitis g20 indonesia kuat ,Positive
2022-06-23 04:16:53,arief kurnia96, hepatitis aku tidak disebabkan oleh vaksin covid g20 indonesia kuat,Positive
2022-06-23 04:14:30,anjani,tidak ada hubungannya vaksinasi covid dengan hepatitis akut pada anak g20 indonesia kuat ,Positive
2022-06-23 04:04:52,christina siauta,dokter hepatitis akut pada anak tidak ada kaitannya dengan vaksin covid g20 indonesia kuat ,Positive
2022-06-23 03:59:03,ssakpogapo, hepatitis akut ada hubungannya sama vaksin g20 indonesia kuat,Positive
2022-06-23 03:54:09,juniar selalu, hepatitis akut tak terkait dengna vaksin covid g20 indonesia kuat,Positive
2022-06-23 03:51:53,gsag, hepatitis akut tak terkait vaksin covid g20 indonesia kuat,Positive
2022-06-23 03:46:29,santiira, hepatitis tidak disebabkan vaksinasi covid g20 indonesia kuat,Positive
2022-06-23 03:45:41,alam, hepatitis akut tidak terkait dengan vaksinasi covid g20 indonesia kuat,Positive
